"Transformation/Conversion",	"31ab3c10-1f10-4372-82d4-4c0c4be5999f",	"Data Management/Data Handling > Transformation/Conversion",	"regular",	"Earth Science Services > Data Management/Data Handling > Transformation/Conversion"
"Subsetting/Supersetting",	"cc9e67fc-eafa-43cc-879f-0cb56b25bc39",	"Data Management/Data Handling > Subsetting/Supersetting",	"regular",	"Earth Science Services > Data Management/Data Handling > Subsetting/Supersetting"
"Media Transfer/Data Rescue",	"fc757c55-83b4-400e-9d23-25bcad230603",	"Data Management/Data Handling > Media Transfer/Data Rescue",	"regular",	"Earth Science Services > Data Management/Data Handling > Media Transfer/Data Rescue"
"Data Search And Retrieval",	"86cbb2d3-6783-4d9b-9dc1-b0aea78f98ea",	"Data Management/Data Handling > Data Search And Retrieval",	"regular",	"Earth Science Services > Data Management/Data Handling > Data Search And Retrieval"
"Data Mining",	"07291e32-fd39-45e8-a603-7443cb780976",	"Data Management/Data Handling > Data Mining",	"regular",	"Earth Science Services > Data Management/Data Handling > Data Mining"
"Data Interoperability",	"0f3573bc-3cb7-4cec-a5bb-1bb6b7ab9057",	"Data Management/Data Handling > Data Interoperability",	"regular",	"Earth Science Services > Data Management/Data Handling > Data Interoperability"
"Data Management/Data Handling",	"02d92216-70c6-437c-8c15-2b76f2132921",	"Data Management/Data Handling",	"bold",	"Earth Science Services > Data Management/Data Handling"
"Visualization/Image Processing",	"4698858b-bf39-4a2c-9713-e41757739eff",	"Data Analysis And Visualization > Visualization/Image Processing",	"regular",	"Earth Science Services > Data Analysis And Visualization > Visualization/Image Processing"
"Statistical Applications",	"997dc5a6-d83f-4d59-8c5a-1d901b069830",	"Data Analysis And Visualization > Statistical Applications",	"regular",	"Earth Science Services > Data Analysis And Visualization > Statistical Applications"
"Geographic Information Systems",	"794e3c3b-791f-44de-9ff3-358d8ed74733",	"Data Analysis And Visualization > Geographic Information Systems",	"regular",	"Earth Science Services > Data Analysis And Visualization > Geographic Information Systems"
"Calibration/Validation",	"4f938731-d686-4d89-b72b-ff60474bb1f0",	"Data Analysis And Visualization > Calibration/Validation",	"regular",	"Earth Science Services > Data Analysis And Visualization > Calibration/Validation"
"Data Analysis And Visualization",	"41adc080-c182-4753-9666-435f8b1c913f",	"Data Analysis And Visualization",	"bold",	"Earth Science Services > Data Analysis And Visualization"
"Earth Science Services",	"894f9116-ae3c-40b6-981d-5113de961710",	"Earth Science Services",	"bold",	"Earth Science Services"
"Water Trace Elements",	"475c95a4-fd1c-4015-825f-07f6529858b0",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Trace Elements",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Trace Elements"
"Water Temperature",	"61594015-4ab4-4b38-ae4f-e31a4757b065",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Temperature",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Temperature"
"Water Potability",	"dac96944-5a5e-4b2a-802d-74627bb93db9",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Potability",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Potability"
"Water Ion Concentration",	"4cc8def9-a825-4ede-9e34-4e11cf89488d",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Ion Concentration",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Water Ion Concentration"
"Turbidity",	"0eaf009f-f92b-48b5-8a71-9c44c80d03d4",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Turbidity",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Turbidity"
